Wall time,Step,Value
1555419070.5237122,840,0.032790303230285645
1555419071.505437,900,0.031031355261802673
1555419089.1470146,1420,0.027793681249022484
1555419114.672854,1880,0.030400866642594337
1555419185.5272272,3160,0.03056962788105011
1555419195.389556,3340,0.02868959866464138
1555419264.8610241,4580,0.032112736254930496
1555419270.4505725,4680,0.035055290907621384
1555419293.9417617,5100,0.02851138263940811
1555419314.1597052,5460,0.03261178359389305
1555419353.505343,6160,0.028347978368401527
1555419355.6883237,6200,0.0309612900018692
1555419364.7170315,6360,0.03291836008429527
1555419480.0082266,8420,0.02815949358046055
1555419524.174069,9200,0.029673976823687553
1555419540.069213,9480,0.03331608697772026
1555419610.3746338,10720,0.03092191554605961
1555419659.1998377,11580,0.029861146584153175
1555419667.0752046,11720,0.029680835083127022
1555419721.5271277,12680,0.029506251215934753
1555419736.262693,12940,0.03093184344470501
1555419763.4834728,13420,0.03246330842375755
1555419812.3655102,14280,0.027731740847229958
1555419821.560579,14440,0.02841242402791977
1555419877.1936007,15420,0.0262821763753891
1555420086.0709062,15685,0.02912481315433979
1555420105.0778918,16025,0.027517391368746758
1555420111.6915948,16145,0.025250250473618507
1555420127.8524256,16705,0.028672749176621437
1555420244.420847,18885,0.029620004817843437
1555420273.5605237,19405,0.03317004442214966
1555420321.7001743,20265,0.02758319489657879
1555420380.115878,21305,0.02686985395848751
1555420422.6392546,22065,0.029391810297966003
1555420509.8342493,23585,0.028499923646450043
1555420601.6021876,25205,0.027113154530525208
1555420664.0326686,26305,0.02509155310690403
1555420667.3838506,26365,0.02748735062777996
1555420683.3812702,26645,0.0278337225317955
1555420687.8692744,26725,0.026390468701720238
1555420742.527435,27685,0.027925804257392883
1555420750.4967039,27825,0.028438473120331764
1555420800.2628787,28705,0.02551058866083622
1555420834.479354,29305,0.02931620366871357
1555420899.2266188,30445,0.02726737968623638
1555420932.083359,31025,0.028456054627895355
1555420962.563812,31330,0.02579583041369915
1555420980.5788002,31650,0.027293503284454346
1555421027.950184,32770,0.02707497589290142
1555421084.492267,33790,0.026596752926707268
1555421104.2799315,34150,0.02664683572947979
1555421114.2245243,34330,0.027008838951587677
1555421131.9446778,34650,0.026301385834813118
1555421135.2860415,34710,0.026925334706902504
1555421184.7078152,35590,0.028089404106140137
1555421255.2306457,36850,0.024108922109007835
1555421279.9210818,37290,0.024824252352118492
1555421283.2441537,37350,0.026770586147904396
1555421292.332844,37510,0.029228493571281433
1555421337.0788589,38310,0.029691552743315697
1555421356.1017485,38650,0.029423154890537262
1555421370.4943383,38910,0.026466576382517815
1555421471.0195096,40690,0.029379725456237793
1555421538.9799945,41890,0.03412642329931259
1555421642.1390939,43710,0.0297457966953516
1555421655.7375762,43950,0.02577328123152256
1555421692.1336741,44590,0.029764046892523766
1555421698.8786118,44710,0.025924453511834145
1555421721.5565948,45110,0.028285302221775055
1555421727.2529008,45210,0.025803642347455025
1555421778.5987616,46110,0.022830193862318993
1555421792.1517606,46350,0.026832224801182747
1555421844.07275,47035,0.027219625189900398
1555421880.780542,47735,0.02943621389567852
1555421881.8130827,47755,0.026541752740740776
1555421920.8093953,48675,0.028094904497265816
1555421939.6064997,49015,0.027612999081611633
1555421941.8544056,49055,0.026914281770586967
1555421947.458223,49155,0.02905408851802349
1555421975.0696812,49655,0.026763712987303734
1555421976.145789,49675,0.02504582144320011
1555421989.3891315,49915,0.02595946192741394
1555421994.790327,50015,0.02611907571554184
1555422027.2994637,50595,0.02730073779821396
1555422044.0967045,50895,0.02787541039288044
1555422050.8365316,51015,0.02840346097946167
1555422198.8789957,53655,0.027466317638754845
1555422260.4610183,54755,0.024423914030194283
1555422315.801191,55735,0.027446821331977844
1555422437.2907987,57875,0.027504369616508484
1555422517.7177105,59295,0.027555542066693306
1555422598.4302242,60715,0.025967994704842567
1555422601.697514,60775,0.030995992943644524
1555422667.716981,61935,0.02696755714714527
1555422749.6384668,63160,0.03061619959771633
1555422812.2081347,64540,0.02746584825217724
1555422827.663118,64820,0.02918073534965515
1555422829.9673147,64860,0.026257289573550224
1555422831.0461433,64880,0.025800609961152077
1555422895.370738,66040,0.026210986077785492
1555423091.622985,69540,0.026545600965619087
1555423226.759064,71940,0.029573382809758186
1555423247.2313118,72300,0.026689836755394936
1555423249.48734,72340,0.028104310855269432
1555423306.0659904,73340,0.025396205484867096
1555423386.7180748,74760,0.025196149945259094
1555423445.5339582,75800,0.02683124877512455
1555423469.3851883,76220,0.031217707321047783
1555423477.4652185,76360,0.027852609753608704
1555423611.4956462,78485,0.02625509910285473
1555423640.2275374,79045,0.027629515156149864
1555423661.6638558,79605,0.028966113924980164
1555423719.297158,80645,0.026835942640900612
1555423788.1009023,81885,0.025982515886425972
1555423897.8949456,83845,0.029309937730431557
1555423932.6037364,84465,0.027024367824196815
1555423938.1815717,84565,0.02744060568511486
1555424018.8625412,86005,0.02448894828557968
1555424033.537324,86265,0.024844428524374962
1555424035.677082,86305,0.027414249256253242
1555424127.3944306,87925,0.026397213339805603
1555424231.6427617,89765,0.027634436264634132
1555424250.7854104,90105,0.02676995098590851
1555424274.6899986,90525,0.030371246859431267
1555424386.1973066,92485,0.03156912699341774
1555424427.163975,93205,0.02738962322473526
1555424431.6670437,93285,0.026485877111554146
1555424440.8422954,93445,0.030208131298422813
1555424740.366806,95670,0.027793938294053078
1555424755.8391113,95950,0.028276657685637474
1555424797.9787815,96710,0.024230144917964935
1555424811.2501442,96950,0.029019564390182495
1555424858.165534,97790,0.029876088723540306
1555424934.3786643,99150,0.02661299891769886
1555424944.4879487,99330,0.02812974713742733
1555424947.8801208,99390,0.025491490960121155
1555425032.9943526,100910,0.02718263864517212
1555425035.3536582,100950,0.026974907144904137
